,DATE,LEVEL,PRESS,RAIN,TEMP,WDIR,WSPEED
185,2020-01-08 17:00:00,-27.0,1031.8,0.0,5.7,253.0,5.3
186,2020-01-08 18:00:00,-6.0,1032.1,0.0,6.0,253.0,4.5
187,2020-01-08 19:00:00,12.0,1031.8,0.0,4.6,245.0,4.0
188,2020-01-08 20:00:00,27.0,1032.0,0.0,4.0,257.0,3.3
189,2020-01-08 21:00:00,37.0,1031.9,0.0,4.1,248.0,4.1
190,2020-01-08 22:00:00,39.0,1031.7,0.0,4.3,248.0,4.7
191,2020-01-08 23:00:00,33.0,1031.8,0.0,4.2,259.0,4.6
192,2020-01-09 00:00:00,24.0,1031.4,0.0,3.9,253.0,3.7
193,2020-01-09 01:00:00,16.0,1031.4,0.0,3.9,273.0,4.7
194,2020-01-09 02:00:00,10.0,1031.2,0.0,4.1,261.0,2.2
195,2020-01-09 03:00:00,11.0,1030.7,0.0,3.8,253.0,3.8
196,2020-01-09 04:00:00,16.0,1030.5,0.0,3.8,252.0,3.7
197,2020-01-09 05:00:00,28.0,1029.7,0.0,3.6,254.0,4.1
198,2020-01-09 06:00:00,41.0,1029.7,0.0,4.1,266.0,3.9
199,2020-01-09 07:00:00,54.0,1029.8,0.0,3.8,252.0,3.7
200,2020-01-09 08:00:00,63.0,1029.7,0.0,3.9,252.0,4.2
201,2020-01-09 09:00:00,61.0,1029.8,0.0,3.6,251.0,4.7
202,2020-01-09 10:00:00,52.0,1029.7,0.0,4.4,272.0,3.7
203,2020-01-09 11:00:00,32.0,1029.5,0.0,5.2,248.0,4.1
204,2020-01-09 12:00:00,9.0,1028.8,0.0,5.0,252.0,2.8
205,2020-01-09 13:00:00,-14.0,1027.7,0.0,5.4,242.0,2.2
206,2020-01-09 14:00:00,-33.0,1027.2,0.0,6.7,232.0,3.2
207,2020-01-09 15:00:00,-44.0,1026.8,0.0,6.4,226.0,3.5
208,2020-01-09 16:00:00,-43.0,1026.6,0.0,6.5,222.0,3.3
209,2020-01-09 17:00:00,-33.0,1026.7,0.0,5.5,221.0,3.8
210,2020-01-09 18:00:00,-14.0,1026.8,0.0,5.2,221.0,3.5
211,2020-01-09 19:00:00,12.0,1026.7,0.0,4.3,228.0,2.5
212,2020-01-09 20:00:00,33.0,1026.5,0.0,3.9,225.0,2.6
213,2020-01-09 21:00:00,47.0,1026.6,0.0,4.8,239.0,3.1
214,2020-01-09 22:00:00,52.0,1026.4,0.0,4.8,240.0,3.5
215,2020-01-09 23:00:00,50.0,1026.5,0.0,4.6,238.0,2.6
216,2020-01-10 00:00:00,43.0,1026.3,0.0,3.9,244.0,2.9
217,2020-01-10 01:00:00,29.0,1026.0,0.0,4.3,248.0,2.9
218,2020-01-10 02:00:00,19.0,1026.0,0.0,4.6,249.0,2.1
219,2020-01-10 03:00:00,14.0,1025.8,0.0,4.9,244.0,2.0
220,2020-01-10 04:00:00,14.0,1025.5,0.0,5.3,253.0,1.5
221,2020-01-10 05:00:00,23.0,1025.2,0.0,5.2,265.0,1.4
222,2020-01-10 06:00:00,37.0,1025.3,0.0,4.8,277.0,1.4
223,2020-01-10 07:00:00,52.0,1025.5,0.0,4.4,274.0,2.7
224,2020-01-10 08:00:00,64.0,1025.9,0.0,3.7,323.0,2.2
225,2020-01-10 09:00:00,68.0,1026.3,0.0,3.0,353.0,1.3
226,2020-01-10 10:00:00,64.0,1026.7,0.0,4.6,56.0,0.9
227,2020-01-10 11:00:00,50.0,1026.9,0.0,5.7,331.0,1.1
228,2020-01-10 12:00:00,28.0,1026.3,0.0,3.9,7.0,1.9
229,2020-01-10 13:00:00,1.0,1025.8,0.0,4.0,6.0,2.0
230,2020-01-10 14:00:00,-22.0,1025.7,0.0,4.2,27.0,1.2
231,2020-01-10 15:00:00,-39.0,1025.6,0.0,4.3,35.0,1.2
232,2020-01-10 16:00:00,-47.0,1025.7,0.0,4.1,89.0,0.9
233,2020-01-10 17:00:00,-40.0,1025.9,0.0,4.7,84.0,1.2
234,2020-01-10 18:00:00,-25.0,1025.9,0.0,4.5,252.0,0.3
235,2020-01-10 19:00:00,-2.0,1026.4,0.0,4.8,258.0,2.0
236,2020-01-10 20:00:00,22.0,1026.7,0.0,3.6,264.0,2.2
237,2020-01-10 21:00:00,40.0,1027.2,0.0,4.5,272.0,2.9
238,2020-01-10 22:00:00,51.0,1027.2,0.0,5.8,282.0,2.8
239,2020-01-10 23:00:00,54.0,1027.8,0.0,6.5,315.0,2.2
240,2020-01-11 00:00:00,47.0,1028.1,0.0,7.0,335.0,2.9
241,2020-01-11 01:00:00,35.0,1028.2,0.0,6.5,337.0,2.3
242,2020-01-11 02:00:00,22.0,1028.1,0.0,6.4,340.0,2.7
243,2020-01-11 03:00:00,11.0,1028.2,0.0,5.6,333.0,2.1
244,2020-01-11 04:00:00,6.0,1028.4,0.0,5.7,330.0,3.6
245,2020-01-11 05:00:00,11.0,1028.2,0.0,5.4,349.0,3.8
246,2020-01-11 06:00:00,22.0,1028.4,0.0,5.5,357.0,4.0
247,2020-01-11 07:00:00,34.0,1028.7,0.0,5.9,2.0,3.2
248,2020-01-11 08:00:00,47.0,1028.9,0.0,6.3,322.0,4.3
249,2020-01-11 09:00:00,56.0,1029.6,0.0,6.5,319.0,3.9
250,2020-01-11 10:00:00,58.0,1030.3,0.0,6.2,342.0,3.5
251,2020-01-11 11:00:00,49.0,1029.9,0.0,7.0,326.0,1.6
252,2020-01-11 12:00:00,32.0,1029.1,0.0,7.5,293.0,3.5
253,2020-01-11 13:00:00,9.0,1028.5,0.0,7.9,299.0,4.4
254,2020-01-11 14:00:00,-18.0,1028.2,0.0,10.2,310.0,4.1
255,2020-01-11 15:00:00,-38.0,1028.0,0.0,11.3,314.0,5.3
256,2020-01-11 16:00:00,-48.0,1028.2,0.0,13.1,352.0,4.9
257,2020-01-11 17:00:00,-49.0,1028.6,0.0,12.1,354.0,4.9
258,2020-01-11 18:00:00,-39.0,1028.7,0.0,11.9,11.0,5.9
259,2020-01-11 19:00:00,-19.0,1029.2,0.0,11.5,49.0,7.3
260,2020-01-11 20:00:00,7.0,1029.6,0.0,12.0,69.0,5.4
261,2020-01-11 21:00:00,29.0,1030.1,0.0,10.2,47.0,4.0
262,2020-01-11 22:00:00,48.0,1030.4,0.0,10.4,49.0,5.8
263,2020-01-11 23:00:00,56.0,1030.9,0.0,9.8,65.0,6.2
264,2020-01-12 00:00:00,57.0,1030.9,0.0,9.8,54.0,7.3
265,2020-01-12 01:00:00,49.0,1030.7,0.0,9.8,44.0,6.5
266,2020-01-12 02:00:00,37.0,1030.9,0.0,9.4,35.0,6.6
267,2020-01-12 03:00:00,27.0,1031.1,0.0,9.5,46.0,5.5
268,2020-01-12 04:00:00,14.0,1031.1,0.0,8.7,29.0,4.2
269,2020-01-12 05:00:00,13.0,1030.8,0.0,9.2,67.0,6.4
270,2020-01-12 06:00:00,19.0,1031.1,0.0,6.8,22.0,5.6
271,2020-01-12 07:00:00,25.0,1031.1,0.0,6.5,21.0,5.6
272,2020-01-12 08:00:00,39.0,1030.9,0.0,6.1,11.0,4.6
